Input,Llama2PokemonExLlama,Llama2PokemonExLlama score,Llama2PokemonExLlama yn score
Bayleef,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Cascoon | Bug | 60 | 120 | 85 | 95 | 70 | 40 | - | A caterpillar-like Pokémon that can evolve into Dartrix. It has the ability to create powerful vibrations using its body. |
| Frogadier | Ground | 70 | 130 | 90 | 100 | 60 | 50 | - | An amphibian Pokémon that can evolve from Frogadier and into Flygon. It is known for its incredible strength and endurance. |",0.5964834690093994,0.1234834343194961
"Polteageist, Numel, Clawitzer, Hoopa","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Polteageist | Psychic | 65 | 120 | 90 | 80 | 70 | 40 | - | A legendary Pokémon said to have created the universe. It can create and control space-time itself. |
| Numel | Fire | 60 | 100 | 80 | 70 | 60 | 30 | - | A large, lizard-like Pokémon with flames on its body. Its fiery breath is incredibly powerful. |
| Clawitzer | Water | 55 | 90 | 70 | 60 | 50 | 20 | - | A sea creature that has evolved from Gorebyss. It uses its sharp claws to attack its opponents. |
| Hoopa | Psychic | 60 | 90 | 70 | 60 | 50 | 30 | - | A mysterious Pokémon that can change its form by using various disguises. It's known for its incredible psychic powers. |",0.6752779483795166,0.1420279443264007
"Minccino, Diancie, Skitty","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Minccino | Normal | 60 | 120 | 85 | 90 | 70 | 40 | - | A small, round Pokémon with a big smile on its face. It is known for being very friendly and making people happy. |
| Diancie | Rock / Steel | 70 | 130 | 95 | 100 | 80 | 50 | - | A large, rock-like Pokémon with steel plates on its body. It has the ability to control metal and can use it to create powerful weapons. |
| Skitty | Normal | 50 | 90 | 60 | 70 | 60 | 40 | - | A cute, brown Pokémon with two long ears and a fluffy tail. It is known for its mischievous behavior and love for playing tricks on others. |",0.6714141368865967,0.1403030306100845
"Stufful, Dachsbun, Wailord","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Stufful | Grass | 60 | 75 | 45 | 120 | 90 | 30 | Pikachu | A small, rodent-like Pokémon with a round body and two large ears. It has the ability to absorb and store energy from its surroundings using its long, fluffy tail. |
| Dachsbun | Water | 80 | 95 | 60 | 130 | 100 | 40 | Growlithe | A bipedal Pokémon with a large, fluffy body and a pair of short legs. Its fur is waterproof and helps it to survive in aquatic environments. |
| Wailord | Rock | 100 | 120 | 80 | 140 | 100 | 50 | Flareon | A massive, serpentine Pokémon with a powerful build and sharp fangs. It can generate intense heat by contracting its muscles, which it uses to create explosions of fire. |",0.5249128341674805,0.1409128159284591
"Metagross, Barbaracle, Meganium","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Metagross | Metal | 90 | 125 | 60 | 85 | 70 | 40 | - | A large and powerful Pokémon that can create massive shockwaves by stomping the ground. Its sheer strength is unmatched on land. |
| Barbaracle | Rock | 60 | 90 | 60 | 70 | 60 | 30 | - | An ancient Pokémon that has been around for millions of years. It's known to be incredibly tough and resilient. |
| Meganium | Grass | 60 | 90 | 60 | 70 | 60 | 30 | - | A grass-type Pokémon with long, slender leaves that it uses to attack its opponents. It can also photosynthesize like a plant, allowing it to survive in harsh environments. |",0.7246720194816589,0.2356720268726349
Applin,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Applin | Grass | 60 | 120 | 95 | 40 | 70 | 85 | - | A small, rodent-like Pokémon with large ears and a fluffy tail. It is known for its ability to dig underground quickly. |",0.567132294178009,0.2271322607994079
Alomomola,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Alomomola | Water | 65 | 120 | 90 | 80 | 70 | 100 | - | A large, blue whale-like Pokémon. It has a distinctive fin on its back and can swim at incredible speeds. Its powerful tail can also be used as a weapon. |",0.6845227479934692,0.3395227789878845
"Phantump, Cottonee, Growlithe, Dustox","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Phantump | Grass | 60 | 85 | 70 | 120 | 90 | 40 | Pineco | A small, rodent-like Pokémon with large ears and sharp claws. It can use its powerful legs to jump long distances. |
| Cottonee | Grass | 60 | 85 | 70 | 120 | 90 | 40 | Ledyba | A small, insectoid Pokémon with a round body and six thin arms. Its vines are very flexible and can be used for various purposes. |
| Growlithe | Fire | 70 | 100 | 80 | 130 | 100 | 50 | Arcanine | A bipedal Pokémon covered in fur, with a fluffy tail and two large fangs. It is known for its fierce battles against other Pokémon. |
| Dustox | Poison | 70 | 90 | 80 | 120 | 100 | 50 | Snorlax | A massive, sloth-like Pokémon with a distinctive purple and blue pattern on its back. It has incredible strength and endurance. |",0.6338233351707458,0.1333233565092086
Pyroar,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Pyroar | Fire | 60 | 120 | 90 | 15 | 10 | 80 | Flareon | A fierce and powerful Pokémon that can create massive flames. Its attacks are incredibly strong, but it's also very temperamental. |",0.529651403427124,0.1516514420509338
"Beheeyem, Larvitar, Tinkatink, Salamence","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Beheeyem | Psychic | 70 | 120 | 95 | 130 | 85 | 60 | - | A large, floating head with two beady eyes. It can read minds and predict the future. |
| Larvitar | Rock | 60 | 90 | 140 | 80 | 100 | 65 | - | An ancient Pokémon that lived during the time of the dinosaurs. Its body is covered in hard scales for protection. |
| Tinkatink | Steel | 50 | 70 | 100 | 60 | 80 | 55 | - | A small, round Pokémon with a big smile on its face. It has a special power to make any metal it touches into a perfect sphere. |
| Salamence | Dragon | 90 | 130 | 100 | 80 | 120 | 70 | - | A massive dragon-like Pokémon with sharp claws and wings. It can create powerful earthquakes by stomping on the ground. |",0.7005316019058228,0.13653165102005
"Wimpod, Cloyster, Trapinch","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Wimpod | Bug | 60 | 45 | 30 | 120 | 80 | 70 | - | A small, rodent-like Pokémon with large ears and a long tail. It can jump high and is known for its quick movements. |
| Cloyster | Water | 90 | 120 | 80 | 60 | 100 | 70 | - | A large, shellfish-like Pokémon that can shoot powerful water attacks from its shell. Its shell also provides excellent protection against physical attacks. |
| Trapinch | Ground | 70 | 90 | 60 | 80 | 100 | 70 | - | A large, mole-like Pokémon that burrows underground to search for rare minerals. It has the ability to create vibrations using its feet, which it uses to detect hidden objects. |",0.6257820725440979,0.1457820683717727
"Drakloak, Manectric, Honchkrow, Dracovish","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Drakloak | Dragon | 60 | 120 | 90 | 75 | 45 | 85 | - | A dragon-like Pokémon that can breathe fire. |
| Manectric | Electric | 70 | 130 | 100 | 80 | 50 | 90 | - | An electric Pokémon that can generate powerful electric attacks. |
| Honchkrow | Dark | 80 | 140 | 110 | 90 | 60 | 100 | - | A dark and intimidating Pokémon with incredible strength. |
| Dracovish | Water | 90 | 150 | 120 | 100 | 70 | 110 | - | A water-type Pokémon with a serpentine body and the ability to create massive waves. |",0.7425903677940369,0.1475903540849685
Zangoose,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Zangoose | Normal | 60 | 120 | 90 | 75 | 45 | 80 | - | A bipedal Pokémon with a large grin and sharp fangs. It is known for its powerful jaws and ability to crush rocks. |",0.8657711744308472,0.3537712097167969
Espurr,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Espurr | Normal | 60 | 120 | 95 | 70 | 85 | 40 | - | A small, cat-like Pokémon with a fluffy tail. It can use its sharp claws to attack its opponents. |",0.5418817400932312,0.116881750524044
Deerling,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Deerling | Grass | 45 | 60 | 40 | 30 | 40 | 70 | - | A small, deer-like Pokémon with large ears. It can use its long tail to attack enemies. |",0.7285438776016235,0.2285438776016235
"Wartortle, Abomasnow, Mothim","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Wartortle | Water | 60 | 85 | 70 | 120 | 90 | 40 | Squirtle (Evolves) | A slow-moving turtle with powerful jaws. It can breathe underwater and has a strong sense of smell. |
| Abomasnow | Ice | 70 | 100 | 60 | 90 | 70 | 30 | Vaporeon (Evolves) | An ice-type Pokémon with the ability to create massive snowstorms. Its attacks are weakened by warm temperatures. |
| Mothim | Bug | 50 | 70 | 60 | 80 | 60 | 30 | Combusken (Evolves) | A small insect Pokémon that can fly using its large wings. It is known for its speed and agility in battle. |",0.7105987668037415,0.150598719716072
"Pangoro, Dragalge, Granbull, Darumaka","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Pangoro | Normal | 60 | 120 | 90 | 75 | 45 | 80 | - | A tall, slender Pokémon with long ears and a fluffy tail. It has the ability to control the weather and can create powerful storms. |
| Dragalge | Water | 70 | 130 | 100 | 80 | 50 | 90 | - | A large, serpentine Pokémon that lives in the ocean. Its body is covered in hard scales for protection. |
| Granbull | Rock | 80 | 140 | 110 | 90 | 60 | 100 | - | A bull-like Pokémon with a tough hide and strong legs. It can use its strength to smash its opponents. |
| Darumaka | Fire | 90 | 150 | 120 | 100 | 70 | 110 | - | A small, mammalian Pokémon with a fierce expression. It can generate intense heat from its body and use it to attack its opponents. |",0.6463133096694946,0.1428133100271225
"Quaxwell, Venomoth, Gengar, Ivysaur","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Quaxwell | Normal | 60 | 120 | 90 | 75 | 45 | 80 | - | A quadrupedal Pokémon with a large body and powerful legs. It can run at high speeds and deliver devastating kicks to its opponents. |
| Venomoth | Bug | 45 | 90 | 60 | 45 | 30 | 60 | - | An insect-like Pokémon with sharp fangs that can inject poison into its enemies. Its wings are also very strong, allowing it to fly quickly and strike from the skies. |
| Gengar | Ghost | 70 | 120 | 90 | 70 | 50 | 80 | - | A ghostly Pokémon with a mischievous personality. It has the ability to transform into other objects or Pokémon, making it a formidable foe in battle. |
| Ivysaur | Grass | 60 | 90 | 70 | 60 | 45 | 70 | - | A plant-like Pokémon with long, slender limbs and leaves for arms. It can photosynthesize and heal itself using sunlight. |",0.6898326277732849,0.1498326659202575
Wooloo,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Wooloo | Normal | 60 | 120 | 95 | 40 | 70 | 85 | - | A herbivorous Pokémon that can evolve into Sheep. It has a strong sense of smell and can detect its surroundings using its long nose. |",0.6418944001197815,0.3418943881988525
"Naganadel, Voltorb, Seviper, Azurill","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Naganadel | Fire | 60 | 120 | 90 | 85 | 70 | 40 | - | A fire-type Pokémon that can create massive flames. Its fiery mane is said to be the most beautiful in the world. |
| Voltorb | Electric | 50 | 90 | 70 | 60 | 50 | 30 | - | An electric-type Pokémon that stores electricity in its body and releases it as powerful attacks. It can also generate electricity from external sources. |
| Seviper | Poison | 40 | 70 | 60 | 50 | 40 | 20 | - | A poison-type Pokémon with a long, venomous tail. It can release a deadly venom attack that paralyzes its opponents. |
| Azurill | Water | 60 | 90 | 70 | 60 | 50 | 30 | - | A water-type Pokémon that has the ability to control ice and snow. It can freeze its opponents solid with a single glance. |",0.6680604219436646,0.1483103781938552
"Victreebel, Darkrai, Hydreigon, Runerigus","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Victreebel | Grass | 65 | 120 | 90 | 70 | 80 | 40 | Evolves into Trevine at level 30 | A gentle and kind Pokémon that can heal itself and its allies. |
| Darkrai | Psychic | 75 | 130 | 100 | 80 | 90 | 60 | Can transform into a human-like form to attack opponents | A mysterious and powerful Pokémon that has the ability to control time and space. |
| Hydreigon | Dragon | 85 | 140 | 110 | 90 | 100 | 70 | Evolves from Hygardeo at level 30 | A massive and powerful Pokémon with incredible strength and speed. |
| Runerigus | Rock | 90 | 150 | 120 | 90 | 100 | 80 | Can absorb super effective moves | A slow but powerful Pokémon that excels in taking hits. |",0.5998436212539673,0.1353436261415481
"Zigzagoon, Fennekin, Simisear","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Zigzagoon | Grass | 60 | 120 | 85 | 95 | 70 | 40 | - | A small, rodent-like Pokémon with large ears and sharp claws. It can burrow underground quickly to escape danger. |
| Fennekin | Fire | 65 | 130 | 90 | 80 | 65 | 45 | - | A small, fox-like Pokémon with a fluffy tail. Its fierce determination makes it a formidable opponent in battle. |
| Simisear | Steel | 70 | 140 | 100 | 90 | 70 | 50 | - | A large, lion-like Pokémon with powerful muscles and sharp claws. Its roar can cause massive earthquakes. |",0.591102659702301,0.1304359883069992
"Mantine, Bellibolt","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Mantine | Water | 60 | 120 | 90 | 75 | 100 | 80 | - | A large bird-like Pokémon that can fly at high speeds. It is known for its incredible strength and speed. |
| Bellibolt | Electric | 45 | 90 | 130 | 80 | 100 | 70 | - | An electric-type Pokémon that can generate powerful electrical attacks. Its body is covered in small lightning bolts, which it uses to attack its opponents. |",0.735403299331665,0.2474032789468765
"Garbodor, Ledian, Blastoise, Shelgon","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Garbodor | Poison | 60 | 120 | 90 | 75 | 45 | 85 | Sceptile | A dark and mysterious Pokémon that can control the power of poison. It has a strong will to protect its Trainer at all costs. |
| Ledian | Steel | 70 | 130 | 100 | 80 | 55 | 90 | Latios | A powerful and graceful Pokémon that can create massive whirlwinds by rotating its body at high speeds. Its movements are so fast that it can create tornadoes in mid-air. |
| Blastoise | Water | 80 | 150 | 120 | 90 | 60 | 100 | Vaporeon | A large and powerful Pokémon with incredible strength. Its shell is said to be able to withstand any attack. It can also shoot water pressure from its mouth to crush its opponents. |
| Shelgon | Ground | 90 | 120 | 100 | 80 | 60 | 110 | Salamence | A tough and resilient Pokémon that can burrow underground with ease. Its hardened hide protects it from attacks. It can also generate intense earthquakes using its powerful legs. |",0.657812774181366,0.1478127390146255
"Rookidee, Golbat, Vullaby, Nidorino","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Rookidee | Grass | 60 | 120 | 85 | 95 | 70 | 40 | - | A small, rodent-like Pokémon with large ears and sharp claws. It can dig underground quickly to escape from predators. |
| Golbat | Flying | 70 | 130 | 90 | 80 | 60 | 45 | - | A bat-like Pokémon that can fly at high speeds using its large wings. Its eyes are very sensitive to light. |
| Vullaby | Water | 60 | 100 | 70 | 60 | 50 | 35 | - | A baby Pokémon that is said to have evolved from the sea. It has a round body and two fins on either side of its head. |
| Nidorino | Metal | 70 | 120 | 90 | 80 | 60 | 45 | - | A Pokémon with a hard shell protecting its body. It can use its horns to attack enemies by ramming into them. |",0.5931189656257629,0.1466189622879028
"Ducklett, Hippopotas, Sudowoodo, Joltik","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Ducklett | Water | 60 | 120 | 85 | 95 | 70 | 40 | - | A water-type Pokémon that can create massive waves and whirlpools. Its weakness is its slow speed. |
| Hippopotas | Ground | 70 | 130 | 90 | 100 | 70 | 40 | - | An armadillo-like Pokémon that burrows underground to rest. It has high defense but low attack power. |
| Sudowoodo | Psychic | 80 | 140 | 100 | 120 | 80 | 50 | - | A psychic-type Pokémon with the ability to control plants. It can also use its vines to bind opponents. |
| Joltik | Electric | 90 | 150 | 110 | 90 | 100 | 60 | - | A small, spider-like Pokémon that can generate powerful electric attacks. It's known for its quick movements. |",0.6092422008514404,0.1467421948909759
"Shellos, Sealeo","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Shellos | Water | 60 | 120 | 90 | 85 | 70 | 40 | - | A sea shell-like Pokémon that can create powerful waves. |
| Sealeo | Water | 60 | 120 | 90 | 85 | 70 | 40 | - | An aquatic Pokémon that can swim at high speeds and generate strong currents. |",0.6698484420776367,0.1433484107255935
Tangrowth,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Tangrowth | Grass | 65 | 120 | 90 | 70 | 80 | 40 | - | A plant-like Pokémon that can grow vines to restrain its opponents. |",0.7795227766036987,0.3495227396488189
"Seadra, Sceptile","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Seadra | Water | 60 | 120 | 85 | 90 | 70 | 40 | - | A sea serpent-like Pokémon that can create massive waves and whirlpools. Its body is covered in hard scales for protection. |
| Sceptile | Grass | 70 | 130 | 95 | 80 | 70 | 50 | - | A large, green snake-like Pokémon with sharp fangs. It has the ability to control plants and use them to attack its opponents. |",0.7354317307472229,0.2504317462444305
"Regirock, Gothita, Natu","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Regirock | Rock | 60 | 120 | 90 | 65 | 45 | 85 | Regigigas | A large rock-type Pokémon that can create massive earthquakes. |
| Gothita | Psychic | 70 | 130 | 85 | 60 | 50 | 95 | Giratina | A psychic-type Pokémon known for its ability to control the weather. |
| Natu | Bug | 65 | 110 | 80 | 60 | 50 | 100 | Kadabra | A bug-type Pokémon with incredible speed and agility. |",0.5880012512207031,0.1380012482404709
"Garchomp, Sneasel","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Garchomp | Ground / Dragon | 60 | 125 | 90 | 70 | 40 | 85 | - | A large and powerful Pokémon with the ability to generate intense earthquakes. Its roar can also cause massive destruction. |
| Sneasel | Poison / Normal | 45 | 90 | 60 | 50 | 30 | 65 | - | A sly and cunning Pokémon that uses its long, sharp claws to attack its opponents. It is known for its quick movements and high evasion. |",0.7229529619216919,0.1529529392719268
"Cacturne, Munna, Shuckle, Drizzile","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Cacturne | Grass/Rock | 60 | 120 | 95 | 70 | 85 | 45 | - | A large, armored dinosaur-like Pokémon. It has the ability to control plants and can use its powerful legs to deliver devastating kicks. |
| Munna | Psychic | 60 | 130 | 100 | 80 | 90 | 50 | - | An egg-shaped Pokémon with psychic powers. Its eyes are said to be able to see into the future. |
| Shuckle | Water | 60 | 120 | 90 | 80 | 70 | 40 | - | A shellfish-like Pokémon that is known for its incredible strength. It can shoot water at high pressure from its mouth. |
| Drizzile | Fire | 60 | 120 | 90 | 80 | 70 | 40 | - | A small, rodent-like Pokémon covered in fur. It has a fiery mane on its head and can breathe fire. |",0.5452293753623962,0.1406460106372833
"Swoobat, Farigiraf, Bulbasaur","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Swoobat | Normal | 60 | 120 | 95 | 70 | 40 | 85 | - | A small bird-like Pokémon that can fly at high speeds. It is known for its quick movements and agility. |
| Farigiraf | Grass | 70 | 130 | 100 | 80 | 50 | 90 | - | A large, lumbering Pokémon with thick vines growing from its body. Its slow movements make it vulnerable to fast opponents. |
| Bulbasaur | Grass | 60 | 100 | 80 | 60 | 40 | 70 | - | A small, reptilian Pokémon with two small horns on its head. It has the ability to photosynthesize like plants, allowing it to survive in harsh environments. |",0.663766622543335,0.1514332592487335
"Riolu, Celebi","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Riolu | Grass | 60 | 120 | 95 | 70 | 85 | 40 | - | A small, rodent-like Pokémon with large ears and sharp claws. It is known for its incredible speed and agility. |
| Celebi | Psychic | 70 | 130 | 100 | 80 | 90 | 50 | - | A legendary Pokémon said to have brought life to the world. Its body is surrounded by a glowing aura that can heal itself and others. |",0.6322685480117798,0.1397685557603836
"Spearow, Marill, Tandemaus, Rattata","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Spearow | Normal | 60 | 120 | 85 | 90 | 70 | 100 | - | A bird of prey that can fly at high speeds. It is known for its sharp eyesight and powerful beak. |
| Marill | Water | 45 | 90 | 60 | 70 | 60 | 90 | - | An aquatic Pokémon with the ability to generate intense water pressure. Its shell is very hard and protects it from attacks. |
| Tandemaus | Ground | 30 | 60 | 40 | 50 | 40 | 70 | - | A large, burrowing Pokémon with great strength. It can create massive earthquakes by digging underground. |
| Rattata | Bug | 40 | 70 | 50 | 60 | 50 | 80 | - | A fast-moving insectoid Pokémon with a long tail. It can use its speed to dodge attacks and deliver quick strikes. |",0.6061005592346191,0.1386005580425262
Glaceon,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Glaceon | Ice | 60 | 120 | 90 | 75 | 100 | 40 | Frozen Flame | A pure ice-type Pokémon that can create powerful blizzards and freeze its opponents solid. Its icy body is incredibly hard to dent or damage. |",0.6844615936279297,0.2544615864753723
Vulpix,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Vulpix | Fire | 60 | 120 | 95 | 40 | 70 | 85 | N/A | A fox-like Pokémon with a fluffy tail. It can create fire and use it to attack its opponents. |",0.6645830273628235,0.2555830180644989
"Shieldon, Dracozolt","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Shieldon | Ground | 60 | 120 | 85 | 95 | 70 | 40 | - | A large, armored Pokémon that can create powerful shockwaves. |
