,text
118,"[INST] <<SYS>>
Given a list of Pokémon names, write a table with these headers:
headers = [""Pokémon"", ""Type"", ""HP"", ""Attack"", ""Defense"", ""Special Attack"", ""Special Defense"", ""Speed"", ""Evolution"", ""Description""]
<</SYS>>

Spritzee, Golett, Magmar [/INST] | Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Spritzee | Fairy | 78 | 52 | 60 | 63 | 65 | 23 | Aromatisse | A scent pouch within this Pokémon’s body allows it to create various scents. A change in its diet will alter the fragrance it produces. In the past, rather than using perfume, royal ladies carried a Spritzee that would waft a fragrance they liked. It emits a scent that enraptures those who smell it. This fragrance changes depending on what it has eaten. The scent its body gives off enraptures those who smell it. Noble ladies had no shortage of love for Spritzee. |
| Golett | Ground, Ghost | 59 | 74 | 50 | 35 | 50 | 35 | Golurk | Its movements are powered by a mysterious energy. It has continued to move since ancient times, so its power may soon run out. The energy that burns inside it enables it to move, but no one has yet been able to identify this energy. These Pokémon are thought to have been created by the science of an ancient and mysterious civilization. Ancient science fashioned this Pokémon from clay. It’s been active for thousands of years. Although ancient people apparently built it by working with clay, the source of its energy is unclear. This Pokémon was created from clay. It received orders from its master many thousands of years ago, and it still follows those orders to this day. They were sculpted from clay in ancient times. No one knows why, but some of them are driven to continually line up boulders. |
| Magmar | Fire | 65 | 95 | 57 | 100 | 85 | 93 | Magmortar | When it’s tired, it leaps into the mouth of a volcano and soaks its body in magma to ease its weariness. Its body burns at 2,192 degrees F. It dislikes cold places, so it blows scorching flames to make the environment suitable for itself. Born in an active volcano. Its body is always cloaked in flames, so it looks like a big ball of fire. The fiery surface of its body gives off a wavering, rippling glare that is similar to the sun. Found near the mouth of a volcano. This fire-breather’s body temperature is nearly 2,200 degrees Fahrenheit. The scorching fire exhaled by Magmar forms heat waves around its body, making it hard to see the Pokémon clearly. The hotter the place, the better they feel. Magmar in Alola are said to be hardier than those in other areas. In battle, it blows out intense flames from all over its body to intimidate its foe. These fiery bursts create heat waves that ignite grass and trees in the area. These Pokémon’s bodies are constantly burning. Magmar are feared as one of the causes behind fires. When angered, it spouts brilliant fire from all over its body. It doesn’t calm down until its opponent has burned to ash. Its entire body is burning. When it breathes, the temperature rises. When it sneezes, flames shoot out! It moves more frequently in hot areas. It can heal itself by dipping its wound into lava. Its body always burns with an orange glow that enables it to hide perfectly amidst flames. Magmar dispatches its prey with fire. But it regrets this habit once it realizes that it has burned its intended prey to a charred crisp. In battle, MAGMAR blows out intensely hot flames from all over its body to intimidate its opponent. This POKéMON’s fiery bursts create heat waves that ignite grass and trees in its surroundings. Its body always burns with an orange glow that enables it to hide perfectly among flames. Legend has it that this Pokémon was born from the crater of a volcano. When wounded, it bathes in lava to heal its body, much as one would soak in a hot spring. When it breathes deeply, heat waves form around its body, making it hard to see clearly. In battle, Magmar blows out intensely hot flames from all over its body to intimidate its opponent. This Pokémon’s fiery bursts create heat waves that ignite grass and trees in its surroundings. Born in the spout of a volcano, its body is covered by flames that shimmer like the sun. It dislikes cold places, so it blows scorching flames to make the environment suit­ able for itself. |"
119,"[INST] <<SYS>>
Given a list of Pokémon names, write a table with these headers:
headers = [""Pokémon"", ""Type"", ""HP"", ""Attack"", ""Defense"", ""Special Attack"", ""Special Defense"", ""Speed"", ""Evolution"", ""Description""]
<</SYS>>

Pansage, Torchic, Carnivine [/INST] | Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Pansage | Grass | 50 | 53 | 48 | 53 | 48 | 64 | Simisage | It’s good at finding berries and gathers them from all over. It’s kind enough to share them with friends. This Pokémon dwells deep in the forest. Eating a leaf from its head whisks weariness away as if by magic. It shares the leaf on its head with weary-looking Pokémon. These leaves are known to relieve stress. |
| Torchic | Fire | 45 | 60 | 40 | 70 | 50 | 45 | Combusken | If attacked, it strikes back by spitting balls of fire it forms in its stomach. A TORCHIC dislikes darkness because it can’t see its surroundings. A fire burns inside, so it feels very warm to hug. It launches fireballs of 1,800 degrees F. It has a flame sac inside its belly that perpetually burns. It feels warm if it is hugged. Inside its body is a place where it keeps a small flame. Hug it! It will be as warm as a hot-water bottle. TORCHIC sticks with its TRAINER, following behind with unsteady steps. This POKéMON breathes fire of over 1,800 degrees F, including fireballs that leave the foe scorched black. TORCHIC has a place inside its body where it keeps its flame. Give it a hug - it will be glowing with warmth. This POKéMON is covered all over by a fluffy coat of down. A fire burns inside, so it feels very warm to hug. It launches fireballs of 1,800 degrees Fahrenheit. Torchic sticks with its Trainer, following behind with unsteady steps. This Pokémon breathes fire of over 1,800 degrees Fahrenheit, including fireballs that leave the foe scorched black. Torchic has a place inside its body where it keeps its flame. Give it a hug—it will be glowing with warmth. This Pokémon is covered all over by a fluffy coat of down. |
| Carnivine | Grass | 74 | 100 | 72 | 90 | 72 | 46 | None | Hanging from branches using its tentacles, it looks like a plant. It awaits prey, mouth wide open. It attracts prey with its sweet-smelling saliva, then chomps down. It takes a whole day to eat prey. It walks around on its tentacles in search of a tree branch where it can dangle down and ambush prey. It binds itself to trees in marshes. It attracts prey with its sweet-smelling drool and gulps them down. Though this is a plant Pokémon, it has a gluttonous and unruly temperament. Carnivine attacks its prey with its cavernous maw wide open. It binds itself to trees in marshes. It attracts prey with its sweet- smelling drool and gulps them down. It attracts prey with its sweet- smelling saliva, then chomps down. It takes a whole day to eat prey. Using its tentacles to lash itself to trees, it lies in wait for prey, luring it close with sweet-smelling drool. |"
120,"[INST] <<SYS>>
Given a list of Pokémon names, write a table with these headers:
headers = [""Pokémon"", ""Type"", ""HP"", ""Attack"", ""Defense"", ""Special Attack"", ""Special Defense"", ""Speed"", ""Evolution"", ""Description""]
<</SYS>>

Krabby, Staravia, Ceruledge, Deino [/INST] | Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Krabby | Water | 30 | 105 | 90 | 25 | 25 | 50 | Kingler | The pincers break off easily. If it loses a pincer, it somehow becomes incapable of walk­ ing sideways. Krabby live on beaches, burrowed inside holes dug into the sand. On sandy beaches with little in the way of food, these Pokémon can be seen squabbling with each other over territory. It can be found near the sea. The large pincers grow back if they are torn out of their sockets. If it senses dan­ ger approaching, it cloaks itself with bubbles from its mouth so it will look bigger. If it senses danger approaching, it cloaks itself with bubbles from its mouth so it will look bigger. The pincers break off easily. If it loses a pincer, it somehow becomes incapable of walking sideways. KRABBY live in holes dug into beaches. On sandy shores with little in the way of food, they can be seen squabbling with each other over territory. Its pincers are not only powerful weapons, they are used for balance when walking sideways. If it is unable to find food, it will absorb nutrients by swallowing a mouthful of sand. It lives in burrows dug on sandy beaches. Its pincers fully grow back if they are broken in battle. KRABBY live on beaches, burrowed inside holes dug into the sand. On sandy beaches with little in the way of food, these POKéMON can be seen squabbling with each other over territory. Its pincers are superb weapons. They sometimes break off during battle, but they grow back fast. |
| Staravia | Normal, Flying | 55 | 75 | 50 | 40 | 40 | 80 | Staraptor | They form remarkably large flocks and are constantly fighting amongst themselves. I suspect that those with magnificent plumes on their heads are the strong ones. It flies around forests and fields in search of bug Pokémon. It stays within a huge flock. Recognizing their own weakness, they always live in a group. When alone, a Staravia cries noisily. It lives in forests and fields. Squabbles over territory occur when flocks collide. Recognizing their own weakness, they always live in a group. When alone, a STARAVIA cries noisily. They maintain huge flocks, although fierce scuffles break out between various flocks. |
| Ceruledge | Fire, Ghost | 75 | 125 | 80 | 60 | 100 | 85 | None | An old set of armor steeped in grudges caused this Pokémon’s evolution. Ceruledge cuts its enemies to pieces without mercy. The fiery blades on its arms burn fiercely with the lingering resentment of a sword wielder who fell before accomplishing their goal. |
| Deino | Dark, Dragon | 52 | 65 | 50 | 45 | 50 | 38 | Zweilous | Lacking sight, it’s unaware of its surroundings, so it bumps into things and eats anything that moves. They cannot see, so they tackle and bite to learn about their surroundings. Their bodies are covered in wounds. It tends to bite everything, and it is not a picky eater. Approaching it carelessly is dangerous. Because it can’t see, this Pokémon is constantly biting at everything it touches, trying to keep track of its surroundings. When it encounters something, its first urge is usually to bite it. If it likes what it tastes, it will commit the associated scent to memory. |"
121,"[INST] <<SYS>>
Given a list of Pokémon names, write a table with these headers:
headers = [""Pokémon"", ""Type"", ""HP"", ""Attack"", ""Defense"", ""Special Attack"", ""Special Defense"", ""Speed"", ""Evolution"", ""Description""]
<</SYS>>

Pawniard, Terrakion, Blacephalon, Kartana [/INST] | Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Pawniard | Dark, Steel | 45 | 85 | 70 | 40 | 40 | 60 | Bisharp | It uses river stones to maintain the cutting edges of the blades covering its body. These sharpened blades allow it to bring down opponents. They fight at Bisharp’s command. They cling to their prey and inflict damage by sinking their blades into it. After shredding its prey, it sharpens its blades on a stone by the river. Each Pawniard has its own favorite sharpening stone. Blades comprise this Pokémon’s entire body. If battling dulls the blades, it sharpens them on stones by the river. A pack of these Pokémon forms to serve a Bisharp boss. Each Pawniard trains diligently, dreaming of one day taking the lead. Ignoring their injuries, groups attack by sinking the blades that cover their bodies into their prey. It follows Bisharp’s orders to a tee when it attacks enemies. After slashing an opponent, Pawniard clangs both of its blades together. |
| Terrakion | Rock, Fighting | 91 | 129 | 90 | 72 | 90 | 108 | None | It has phenomenal power. It will mercilessly crush anyone or anything that bullies small Pokémon. In Unovan legend, Terrakion battled against humans in an effort to protect other Pokémon. Its charge is strong enough to break through a giant castle wall in one blow. This Pokémon is spoken of in legends. Spoken of in legend, this Pokémon used its phenomenal power to destroy a castle in its effort to protect Pokémon. This Pokémon came to the defense of Pokémon that had lost their homes in a war among humans. |
| Blacephalon | Fire, Ghost | 53 | 127 | 53 | 151 | 79 | 107 | None | It slithers toward people. Then, without warning, it triggers the explosion of its own head. It’s apparently one kind of Ultra Beast. A UB that appeared from an Ultra Wormhole, it causes explosions, then takes advantage of opponents’ surprise to rob them of their vitality. |
| Kartana | Grass, Steel | 59 | 181 | 131 | 59 | 31 | 109 | None | This Ultra Beast came from the Ultra Wormhole. It seems not to attack enemies on its own, but its sharp body is a dangerous weapon in itself. This Ultra Beast’s body, which is as thin as paper, is like a sharpened sword. One of the Ultra Beast life-forms, it was observed cutting down a gigantic steel tower with one stroke of its blade. Although it’s alien to this world and a danger here, it’s apparently a common organism in the world where it normally lives. |"
122,"[INST] <<SYS>>
Given a list of Pokémon names, write a table with these headers:
headers = [""Pokémon"", ""Type"", ""HP"", ""Attack"", ""Defense"", ""Special Attack"", ""Special Defense"", ""Speed"", ""Evolution"", ""Description""]
<</SYS>>

Electivire, Swanna, Probopass, Corviknight [/INST] | Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Electivire | Electric | 75 | 123 | 67 | 95 | 85 | 95 | None | As its electric charge amplifies, blue sparks begin to crackle between its horns. The amount of electrical energy this Pokémon produces is proportional to the rate of its pulse. The voltage jumps while Electivire is battling. It pushes the tips of its two tails against the foe, then lets loose with over 20,000 volts of power. Its evolution was induced by an unusual item, and its electrical output rises along with its heart rate. From its tails, it can unleash an electric current measuring 20,000 volts. It grips its tail, which spews electricity, and then beats down opponents with the power of its electrified fist. In terms of electrical-energy output, Electivire is one of the best among all Electric Pokémon. It discharges high-voltage currents from its tails. It pushes the tips of its tails against its foes and then lets loose a high-voltage current. Its foes are burned to a crisp in an instant. When it gets excited, it thumps its chest. With every thud, thunder roars and electric sparks shower all around. The instant it presses the tips of its tails onto an opponent, it sends over 20,000 volts of electricity into the foe. A single Electivire can provide enough electricity for all the buildings in a big city for a year. Heedless of enemy attacks, it closes in, shoves its tails onto the foe, then looses high voltage. |
| Swanna | Water, Flying | 75 | 87 | 63 | 87 | 63 | 98 | None | Swanna start to dance at dusk. The one dancing in the middle is the leader of the flock. Despite their elegant appearance, they can flap their wings strongly and fly for thousands of miles. It administers sharp, powerful pecks with its bill. It whips its long neck to deliver forceful repeated strikes. |
| Probopass | Rock, Steel | 60 | 55 | 145 | 75 | 150 | 40 | None | It controls three units called Mini-Noses using magnetic force. With them, it can attack the foe from three directions. It freely controls three units called Mini-Noses using magnetic force. It radiates such a powerful magnetic field that nearby electrical appliances become unusable. It exudes strong magnetism from all over. It controls three small units called Mini-Noses. Although it can control its units known as Mini-Noses, they sometimes get lost and don’t come back. It uses three small units to catch prey and battle enemies. The main body mostly just gives orders. The main body controls three mobile units called Mini-Noses, which it maneuvers to catch prey. It is able to emit powerful magnetism, allowing it control over the iron sand that forms its luscious mustache. Using this iron sand, Probopass forms hard stones with which it smites its prey. It freely controls three small units called Mini-Noses using magnetic force. |
| Corviknight | Flying, Steel | 98 | 87 | 105 | 53 | 85 | 67 | None | With their great intellect and flying skills, these Pokémon very successfully act as the Galar region’s airborne taxi service. This Pokémon reigns supreme in the skies of the Galar region. The black luster of its steel body could drive terror into the heart of any foe. |"
123,"[INST] <<SYS>>
Given a list of Pokémon names, write a table with these headers:
headers = [""Pokémon"", ""Type"", ""HP"", ""Attack"", ""Defense"", ""Special Attack"", ""Special Defense"", ""Speed"", ""Evolution"", ""Description""]
<</SYS>>

Heracross, Sharpedo [/INST] | Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Heracross | Bug, Fighting | 80 | 125 | 75 | 40 | 95 | 85 | None | With powerful legs and claws, it generates enough power to hurl foes over great distances. Usually docile, but if disturbed while sipping honey, it chases off the intruder with its horn. This powerful POKéMON thrusts its prized horn under its enemies’ bellies, then lifts and throws them. It’s proud of its thick horn. In Alola, its biggest rival is Vikavolt, which it’s always fighting with. This Pokémon has an unparalleled horn. Heracross itself demonstrates tremendous power—it's capable of throwing several people trained in the traditional arts of war at once. It gathers in forests to search for tree sap, its favorite food. It’s strong enough to hurl foes. Heracross has sharp claws on its feet. These are planted firmly into the ground or the bark of a tree, giving the Pokémon a secure and solid footing to forcefully fling away foes with its proud horn. HERACROSS has sharp claws on its feet. These are planted firmly into the ground or the bark of a tree, giving the POKéMON a secure and solid footing to forcefully fling away foes with its proud horn. HERACROSS charges in a straight line at its foe, slips beneath the foe’s grasp, and then scoops up and hurls the opponent with its mighty horn. This POKéMON even has enough power to topple a massive tree. Heracross charges in a straight line at its foe, slips beneath the foe’s grasp, and then scoops up and hurls the opponent with its mighty horn. This Pokémon even has enough power to topple a massive tree. Heracross loves sweet sap and will go looking through forests for it. The Pokémon uses its two antennae to pick up scents as it searches. They gather in forests seeking the sweet sap of trees. It is completely clad in a steel-hard shell. It is proud of its horn, which it uses to fling foes. It is usually docile, but if it is disturbed while sipping honey, it chases off the intruder with its horn. This Pokémon takes pride in its strength, which allows it to lift things 100 times heavier than itself with no trouble at all. With its Herculean powers, it can easily throw around an object that is 100 times its own weight. It roams through forests searching for sweet nectar. Although it boasts fantastic physical strength, it’s not that good at flying. It loves sweet honey. To keep all the honey to itself, it hurls rivals away with its prized horn. With its Herculean powers, it can easily throw arou­ nd an object that is 100 times its own weight. No matter how heavy its opponents, it flings them far away with its prized horn. This powerful Pokémon thrusts its prized horn under its enemies’ bellies, then lifts and throws them. This powerful POKéMON thrusts its prized horn under its enemies’ bellies then lifts and throws them. |
| Sharpedo | Water, Dark | 70 | 120 | 40 | 95 | 40 | 95 | None | As soon as it catches the scent of prey, Sharpedo will jet seawater from its backside, hurtling toward the target to attack at 75 mph. Nicknamed “the bully of the sea,” SHARPEDO is widely feared. Its cruel fangs grow back immediately if they snap off. Just one of these POKéMON can thoroughly tear apart a supertanker. The ruffian of the seas, it has fangs that crunch through iron. It swims by jetting water from its rear. The vicious and sly gangster of the sea. Its skin is specially textured to minimize drag in water. Its speed tops out at over 75 miles per hour. This Pokémon is known as the Bully of the Sea. Any ship entering the waters Sharpedo calls home will be attacked—no exceptions. It drinks in seawater and jets it from its rear to propel itself. It’s very sensitive to the scent of blood. It has a sad history. In the past, its dorsal fin was a treasured foodstuff, so this Pokémon became a victim of overfishing. Sharpedo can swim at speeds of up to 75 mph by jetting seawater out of its backside. This Pokémon’s drawback is its inability to swim long distances. Nicknamed “the bully of the sea,” Sharpedo is widely feared. Its cruel fangs grow back immediately if they snap off. Just one of these Pokémon can thoroughly tear apart a supertanker. People believe that carrying one of its discarded fangs will prevent mishaps at sea, so the fangs are made into accessories. SHARPEDO can swim at speeds of up to 75 mph by jetting seawater out of its backside. This POKéMON’s drawback is its inability to swim long distances. Its fangs rip through sheet iron. It swims at 75 mph and is known as “The Bully of the Sea.” It pursues its prey at speeds of 75 mph and finishes them off with fangs that can crush iron. It is known as the bully of the sea. It can swim at speeds of 75 mph by jetting seawater through its body. It is the bandit of the sea. |"
124,"[INST] <<SYS>>
Given a list of Pokémon names, write a table with these headers:
headers = [""Pokémon"", ""Type"", ""HP"", ""Attack"", ""Defense"", ""Special Attack"", ""Special Defense"", ""Speed"", ""Evolution"", ""Description""]
<</SYS>>

Samurott, Passimian, Castform [/INST] | Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Samurott | Water | 95 | 100 | 85 | 108 | 70 | 70 | None | In the time it takes a foe to blink, it can draw and sheathe the seamitars attached to its front legs. One swing of the sword incorporated in its armor can fell an opponent. A simple glare from one of them quiets everybody. Part of the armor on its anterior legs becomes a giant sword. Its cry alone is enough to intimidate most enemies. Hard of heart and deft of blade, this rare form of Samurott is a product of the Pokémon's evolution in the region of Hisui. Its turbulent blows crash into foes like ceaseless pounding waves. |
| Passimian | Fighting | 100 | 120 | 90 | 40 | 60 | 80 | None | Berries are its weapons as well as the staple of its diet. The one that can throw a berry the farthest is the boss of the troop. Displaying amazing teamwork, they follow the orders of their boss as they all help out in the search for their favorite berries. They form groups of roughly 20 individuals. Their mutual bond is remarkable—they will never let down a comrade. Passimian live in groups of about 20, with each member performing an assigned role. Through cooperation, the group survives. They battle with hard berries for weapons. Their techniques are passed from the boss to the group, generation upon generation. They use their saliva to stick leaves to their shoulders. You can tell what troop they belong to from the position of the leaves. |
| Castform | Normal | 70 | 70 | 70 | 70 | 70 | 70 | None | Its appearance changes with the weather. Recently, its molecules were found to be just like water. Although its form changes with the weather, that is apparently the result of a chemical reaction and not the result of its own free will. It changes its form depending on the weather. Changes in the temperature or humidity appear to affect its cellular structure. It has the ability to change its form into the sun, the rain, or a snow cloud,  depending on the weather. Its form changes depending on the weather. The rougher conditions get, the rougher Castform’s disposition! Temperature and weather affect its cellular structure, so this Pokémon changes form according to the weather. CASTFORM borrows the power of nature to transform itself into the guises of the sun, rain clouds, and snow clouds. This POKéMON’s feelings change with the weather. This Pokémon can change its cells, taking different forms based on the temperature and humidity. CASTFORM’s appearance changes with the weather. This POKéMON gained the ability to use the vast power of nature to protect its tiny body. Its form changes on its own, due to its cells’ sensitive reactions to temperature and humidity. Castform borrows the power of nature to transform itself into the guises of the sun, rain, and snow-clouds. This Pokémon’s feelings change with the weather. It alters its form depending on the weather. Changes in the climate such as the temperature and humidity appear to affect its cellular structure. It has the ability to change its form into the sun, the rain, or a snow cloud, depending on the weather. Castform’s appearance changes with the weather. This Pokémon gained the ability to use the vast power of nature to protect its tiny body. |"
125,"[INST] <<SYS>>
Given a list of Pokémon names, write a table with these headers:
headers = [""Pokémon"", ""Type"", ""HP"", ""Attack"", ""Defense"", ""Special Attack"", ""Special Defense"", ""Speed"", ""Evolution"", ""Description""]
<</SYS>>

Togetic, Durant [/INST] | Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Togetic | Fairy, Flying | 55 | 40 | 85 | 80 | 105 | 40 | Togekiss | TOGETIC is said to be a POKéMON that brings good fortune. When the POKéMON spots someone who is pure of heart, it is said to appear and share its happiness with that person. It is said to appear in front of kindly people to scatter a glowing down called “joy dust.” To share its happiness, it flies around the world seeking kind­ hearted people. To share its happiness, it flies around the world seeking kind- hearted people. It is said to be a POKéMON that brings good fortune. When it spots someone who is pure of heart, a TOGETIC appears and shares its happiness with that person. No records exist of Togetic being seen in the wilds. Rumors abound that it evolves under the loving care of a trusted human companion, upon whom the Pokémon then bestows great joy. Although it does not flap its wings very much, it can stay up in the air as it tags along after its trainer. They say that it will appear before kindhearted, caring people and shower them with happiness. Togetic is said to be a Pokémon that brings good fortune. When the Pokémon spots someone who is pure of heart, it is said to appear and share its happiness with that person. It grows dispirit­ ed if it is not with kind people. It can float in midair without moving its wings. They say that it will appear before kindhearted, car­ ing people and shower them with happiness. It grows dispirited if it is not with kind people. It can float in midair without moving its wings. |
| Durant | Bug, Steel | 58 | 109 | 112 | 48 | 48 | 109 | None | They attack in groups, covering themselves in steel armor to protect themselves from Heatmor. Durant dig nests in mountains. They build their complicated, interconnected tunnels into mazes. They lay their eggs deep inside their nests. When attacked by Heatmor, they retaliate using their massive mandibles. With their large mandibles, these Pokémon can crunch their way through rock. They work together to protect their eggs from Sandaconda. Individuals each play different roles in driving Heatmor, their natural predator, away from their colony. |"
126,"[INST] <<SYS>>
Given a list of Pokémon names, write a table with these headers:
headers = [""Pokémon"", ""Type"", ""HP"", ""Attack"", ""Defense"", ""Special Attack"", ""Special Defense"", ""Speed"", ""Evolution"", ""Description""]
<</SYS>>

Raboot, Appletun, Sawsbuck [/INST] | Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Raboot | Fire | 65 | 86 | 60 | 55 | 60 | 94 | Cinderace | It kicks berries right off the branches of trees and then juggles them with its feet, practicing its footwork. Its thick and fluffy fur protects it from the cold and enables it to use hotter fire moves. |
| Appletun | Grass, Dragon | 110 | 85 | 80 | 100 | 80 | 30 | None | Eating a sweet apple caused its evolution. A nectarous scent wafts from its body, luring in the bug Pokémon it preys on. Its body is covered in sweet nectar, and the skin on its back is especially yummy. Children used to have it as a snack. |
| Sawsbuck | Normal, Grass | 80 | 100 | 70 | 60 | 70 | 95 | None | They migrate according to the seasons, so some people call Sawsbuck the harbingers of spring. The plants growing on its horns change according to the season. The leaders of the herd possess magnificent horns. They migrate according to the seasons. People can tell the season by looking at Sawsbuck’s horns. |"
127,"[INST] <<SYS>>
Given a list of Pokémon names, write a table with these headers:
headers = [""Pokémon"", ""Type"", ""HP"", ""Attack"", ""Defense"", ""Special Attack"", ""Special Defense"", ""Speed"", ""Evolution"", ""Description""]
<</SYS>>

Cetoddle, Lanturn, Poliwhirl [/INST] | Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Cetoddle | Ice | 108 | 68 | 45 | 30 | 40 | 43 | Cetitan | It lives in frigid regions in pods of five or so individuals. It loves the minerals found in snow and ice. This species left the ocean and began living on land a very long time ago. It seems to be closely related to Wailmer. |
| Lanturn | Water, Electric | 125 | 58 | 58 | 76 | 76 | 67 | None | LANTURN is nicknamed “the deep-sea star” for its illuminated antenna. This POKéMON produces light by causing a chemical reaction between bacteria and its bodily fluids inside the antenna. Lanturn’s light can shine up from great depths. It is nicknamed “The Deep-Sea Star.” LANTURN is known to emit light. If you peer down into the dark sea from a ship at night, you can sometimes see this POKéMON’s light rising from the depths where it swims. It gives the sea an appearance of a starlit night. LANTURN’s light can shine up from great depths. It is nicknamed “The Deep-Sea Star.” This Pokémon flashes a bright light that blinds its prey. This creates an opening for it to deliver an electrical attack. This POKéMON uses the bright part of its body, which changed from a dorsal fin, to lure prey. When the bacteria living inside its antennae absorb Lanturn’s bodily fluids, a strong luminescent effect is produced. Should you peer into the ocean at night and see a light shining like the stars, that is Lanturn. The light it emits is so bright that it can illuminate the sea's surface from a depth of over three miles. It blinds prey with an intense burst of light. With the prey incapacitated, the Pokémon swallows it in a single gulp. Lanturn is nicknamed “the deep-sea star” for its illuminated antenna. This Pokémon produces light by causing a chemical reaction between bacteria and its bodily fluids inside the antenna. It blinds prey with an intense burst of light, then swallows the immobilized prey in a single gulp. It lives far down in the depths of the ocean. It blinds its prey with light, using the moment they’re dazzled to swallow them whole. The light-emitting orbs on its back are very bright. They are formed from a part of its dorsal fin. This POKéMON illuminates the inky darkness of deep seas. Lanturn is known to emit light. If you peer down into the dark sea from a ship at night, you can sometimes see this Pokémon’s light rising from the depths where it swims. It gives the sea an appearance of a starlit night. The light it emits is so bright that it can illuminate the sea’s surface from a depth of over three miles. |
| Poliwhirl | Water | 65 | 65 | 65 | 50 | 50 | 90 | Poliwrath | The skin on most of its body is moist. However, the skin on its belly spiral feels smooth. The surface of POLIWHIRL’s body is always wet and slick with an oily fluid. Because of this greasy covering, it can easily slip and slide out of the clutches of any enemy in battle. Its body surface is always wet and slick with an oily fluid. Because of this greasy covering, it can easily slip and slide out of the clutches of any enemy in battle. Its two legs are well developed. Even though it can live on the ground, it prefers living in water. Capable of living in or out of water. When out of water, it sweats to keep its body slimy. Staring at the swirl on its belly causes drowsiness. This trait of Poliwhirl’s has been used in place of lullabies to get children to go to sleep. This Pokémon’s sweat is a slimy mucus. When captured, Poliwhirl can slither from its enemies’ grasp and escape. Its health suffers when its skin dries out, so be sure to moisturize it diligently. The surface of Poliwhirl’s body is always wet and slick with a slimy fluid. Because of this slippery covering, it can easily slip and slide out of the clutches of any enemy in battle. Under attack, it uses its belly  spiral to put the foe to sleep. It then makes its escape. Though it is skilled at walk­ ing, it prefers to live underwater where there is less danger. Under attack, it uses its belly spiral to put the foe to sleep. It then makes its escape. The spiral pattern on its belly subtly undulates. Staring at it gradually causes drowsiness. The swirl on its belly subtly undulates. Staring at it may gradually cause drowsiness. It marches over the land in search of bug Pokémon to eat. Then it takes them underwater so it can dine on them where it’s safe. Although it has become capable of living on land, it spends its time in the water, where its prey, fish Pokémon, are plentiful. The swirl on its belly subtly un­ dulates. Staring at it may gradual­ ly cause drowsi­ ness. Although it can live on land, it prefers to stay in the water, where it has fewer natural enemies. It can live in or out of water. When out of water, it constantly sweats to keep its body slimy. |"
128,"[INST] <<SYS>>
Given a list of Pokémon names, write a table with these headers:
headers = [""Pokémon"", ""Type"", ""HP"", ""Attack"", ""Defense"", ""Special Attack"", ""Special Defense"", ""Speed"", ""Evolution"", ""Description""]
<</SYS>>

Dolliv, Alcremie, Beartic [/INST] | Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Dolliv | Grass, Normal | 52 | 53 | 60 | 78 | 78 | 33 | Arboliva | It basks in the sun to its heart’s content until the fruits on its head ripen. After that, Dolliv departs from human settlements and goes on a journey. Dolliv shares its tasty, fresh-scented oil with others. This species has coexisted with humans since times long gone. |
| Alcremie | Fairy | 65 | 60 | 75 | 110 | 121 | 64 | None | When it trusts a Trainer, it will treat them to berries it’s decorated with cream. When Alcremie is content, the cream it secretes from its hands becomes sweeter and richer. |
| Beartic | Ice | 95 | 130 | 80 | 70 | 80 | 50 | None | They love the cold seas of the north. They create pathways across the ocean waters by freezing their own breath. It swims energetically through frigid seas. When it gets tired, it freezes the seawater with its breath so it can rest on the ice. It can make its breath freeze at will. Very able in the water, it swims around in northern seas and catches prey. It freezes its breath to create fangs and claws of ice to fight with. Cold northern areas are its habitat. It swims through frigid seas, searching for prey. From its frozen breath, it forms icy fangs that are harder than steel. |"
