Input,Llama2ExLlama,Llama2ExLlama score,Llama2ExLlama yn score
"Cetoddle, Scrafty","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| Drowzee | Ground | 60 | 120 | 90 | 75 | 45 | 85 | - | A brown, insect-like Pokémon with large mandibles. It can create powerful vibrations to attack its opponents. |
| Snom | Water | 55 | 90 | 130 | 80 | 60 | 100 | - | A sea serpent-like Pokémon that can control water. Its body is covered in hard scales for protection. |
| Regidrago | Dragon | 70 | 150 | 100 | 90 | 70 | 120 | - | A massive dragon-like Pokémon with incredible strength and speed. It has the ability to breathe fire and fly at high speeds. |",0.5158858299255371,0.1382191777229309
"Cacturne, Lilligant","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Cacturne | Grass | 60 | 120 | 95 | 70 | 85 | 40 | Prickle | A grass-type Pokémon that can grow thorns on its body to defend itself. |
| Lilligant | Grass | 60 | 130 | 100 | 80 | 90 | 50 | Leafy | A plant-like Pokémon with large leaves that can be used as weapons. |",0.6424703001976013,0.1299702823162078
"Sunflora, Kleavor, Talonflame","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Sunflora | Grass | 60 | 120 | 90 | 75 | 85 | 40 | - | A tall, slender plant with large petals that can absorb and store water. It is said to have the power to heal itself by absorbing sunlight. |
| Kleavor | Rock | 60 | 130 | 100 | 80 | 90 | 50 | - | A boulder-like Pokémon with incredible strength. Its body is covered in hard, rocky plates for protection. |
| Talonflame | Fire | 60 | 120 | 90 | 75 | 85 | 40 | - | A fierce bird of prey from the sky. Its wings are covered in flames that it uses to scorch its opponents. |",0.7826126217842102,0.2572793066501617
"Milcery, Furfrou, Zorua","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Milcery | Grass | 60 | 120 | 90 | 85 | 70 | 40 | - | A small, rodent-like Pokémon with large ears and a fluffy tail. It can use its powerful jaws to bite through almost anything. |
| Furfrou | Normal | 60 | 130 | 100 | 90 | 80 | 60 | - | A quadrupedal Pokémon with a distinctive mane on its head. Its muscular body allows it to run at high speeds and over long distances. |
| Zorua | Ghost | 60 | 120 | 100 | 90 | 80 | 70 | - | A Pokémon that is said to have the power to control time itself. It has the ability to manipulate the flow of time, allowing it to move through different eras simultaneously. |",0.6134011149406433,0.1357344686985016
"Pachirisu, Poochyena, Delcatty","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Pachirisu | Grass | 60 | 120 | 95 | 85 | 70 | 40 | - | A green, rodent-like Pokémon with large ears and a long tail. It can use its powerful sense of smell to track down its opponents. |
| Poochyena | Fire | 50 | 90 | 130 | 80 | 70 | 50 | - | A bipedal Pokémon covered in flames. Its fierce roar can cause massive damage to its foes. |
| Delcatty | Psychic | 70 | 100 | 120 | 90 | 80 | 70 | - | A slender, cat-like Pokémon with psychic powers. It can create illusions that confuse and disorient its enemies. |",0.5981197357177734,0.1431197077035904
Bergmite,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Bergmite | Bug | 45 | 60 | 30 | 12 | 18 | 40 | - | A small, insect-like Pokémon. It can create powerful vibrations to shake its opponents. |",0.6261787414550781,0.1491787135601043
"Malamar, Aerodactyl","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Malamar | Normal | 60 | 120 | 95 | 70 | 40 | 85 | - | A dark and mysterious Pokémon that can control the shadows around it. It has the ability to create powerful illusions and can even transform into a ghost-like form. |
| Aerodactyl | Flying | 90 | 130 | 100 | 80 | 50 | 100 | - | A large pterosaurian Pokémon with incredible speed and agility. Its wings are covered in sharp spikes for added defense. |",0.7419987320899963,0.2444987297058105
"Swoobat, Ninjask","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Swoobat | Normal | 60 | 120 | 95 | 70 | 40 | 85 | - | A small bird-like Pokémon that can fly at high speeds. It is known for its quick movements and agility. |
| Ninjask | Bug | 65 | 130 | 100 | 80 | 50 | 90 | - | An insect-like Pokémon that specializes in stealth attacks. Its wings are covered in sharp spikes to help it defend itself from predators. |",0.6925516128540039,0.2475516349077224
Metagross,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Metagross | Metal | 90 | 150 | 80 | 60 | 40 | 70 | Steelix | A massive and powerful Pokémon. Its sheer strength is unmatched on the battlefield. |",0.5782172083854675,0.23821721971035
Rufflet,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Rufflet | Grass | 60 | 120 | 85 | 95 | 70 | 40 | - | A small, rodent-like Pokémon with large ears and sharp claws. It can use its powerful jaws to bite through almost anything. |",0.5705561637878418,0.150556206703186
"Accelgor, Glimmet, Crabrawler","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Accelgor | Bug/Steel | 60 | 120 | 90 | 75 | 85 | 45 | - | A Pokémon that can transform into various objects and weapons. It is known for its incredible strength and versatility in battle. |
| Glimmet | Steel | 55 | 90 | 70 | 60 | 75 | 35 | - | A small, insect-like Pokémon with a tough exoskeleton. Its hardiness makes it resistant to many attacks. |
| Crabrawler | Water | 60 | 100 | 80 | 65 | 90 | 40 | - | A large, crustacean-like Pokémon with powerful claws. It can create massive waves by flapping its fins. |",0.5877671241760254,0.1337671279907226
"Wyrdeer, Vanillish","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Wyrdeer | Grass | 60 | 120 | 90 | 45 | 70 | 30 | - | A herbivorous Pokémon that can grow vines to trap its opponents. |
| Vanillish | Ice | 80 | 100 | 70 | 40 | 60 | 30 | - | A cold-blooded Pokémon that can create ice crystals from its body. |",0.6826719045639038,0.1471718847751617
Whiscash,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Whiscash | Water | 90 | 125 | 60 | 85 | 70 | 90 | Squirtle → | A powerful and majestic Pokémon that can create massive waves to wash away its opponents. Its strength is unmatched in the sea. |",0.6714677810668945,0.141467809677124
"Mandibuzz, Rampardos, Leafeon, Vulpix","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Mandibuzz | Normal | 60 | 120 | 90 | 75 | 45 | 80 | - | A large bird-like Pokémon known for its powerful beak and sharp claws. It can use its wings to fly at high speeds and strike from above. |
| Rampardos | Rock | 70 | 130 | 100 | 80 | 55 | 90 | - | A bipedal Pokémon covered in rocky plates. Its strong legs allow it to deliver devastating kicks and punches. |
| Leafeon | Grass | 60 | 110 | 90 | 70 | 45 | 80 | - | A serpentine Pokémon with a voracious appetite for battles. Its long tail is used as a weapon during combat. |
| Vulpix | Fire | 70 | 120 | 90 | 80 | 55 | 90 | - | A fox-like Pokémon that can generate intense heat from its body. It uses this heat to attack its opponents and create massive explosions. |",0.7282395362854004,0.1432395279407501
Tarountula,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Tarountula | Bug | 60 | 120 | 90 | 75 | 100 | 40 | - | A small spider-like Pokémon that can create powerful webs to trap its opponents. |",0.5635712742805481,0.238571286201477
Dottler,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Dottler | Grass | 60 | 120 | 90 | 45 | 70 | 30 | - | A small, rodent-like Pokémon with large ears and a long tail. It can use its powerful digging abilities to burrow underground and escape from danger. |",0.6181145906448364,0.248114600777626
Regigigas,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Regigigas | Psychic | 120 | 185 | 90 | 130 | 70 | 60 | - | A legendary Pokémon that is said to have created the universe. It has immense power and can create or destroy anything it desires. |",0.6581528782844543,0.2431528866291046
Blissey,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Blissey | Normal | 60 | 120 | 95 | 70 | 85 | 100 | Evolves from Chansey | A gentle and caring Pokémon that can heal its allies. It has the ability to produce milk for its trainers. |",0.3567708134651184,0.2467707991600036
"Jumpluff, Nuzleaf, Magcargo, Charmander","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Jumpluff | Grass | 60 | 120 | 85 | 95 | 70 | 40 | - | A green bird-like Pokémon known for its jumping abilities. It can jump long distances and is often used in battles to surprise opponents. |
| Nuzleaf | Poison | 65 | 130 | 90 | 100 | 75 | 45 | - | A poisonous plant-like Pokémon that can release harmful spores into the air. Its vines are also very strong and can bind opponents. |
| Magcargo | Rock | 70 | 140 | 100 | 80 | 90 | 50 | - | A large rock-type Pokémon with incredible strength. It can crush rocks with ease and is nearly indestructible. |
| Charmander | Fire | 75 | 150 | 95 | 70 | 100 | 60 | - | A fire-type Pokémon with a flamboyant mane of fur. It has excellent attack power but low defense. It evolves into Charmeleon at level 16, then further evolves into Charizard at level 36. |",0.6319052577018738,0.1434052437543869
"Wooloo, Yanma, Venomoth","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Wooloo | Normal | 60 | 120 | 85 | 95 | 70 | 40 | - | A sheep-like Pokémon that can create powerful vibrations to shake its opponents. |
| Yanma | Bug | 63 | 130 | 90 | 80 | 60 | 45 | - | A small insect-like Pokémon with the ability to fly and shoot venomous stingers. |
| Venomoth | Bug | 70 | 140 | 100 | 90 | 70 | 50 | - | An evolved form of Yanma, capable of shooting powerful venomous attacks. |",0.6531172394752502,0.1391172111034393
"Arbok, Forretress, Crabominable","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Arbok | Grass | 60 | 120 | 90 | 65 | 45 | 70 | - | A large and powerful snake-like Pokémon. It can swallow its opponents whole with one gulp. |
| Forretress | Rock | 80 | 130 | 100 | 70 | 50 | 60 | - | A massive rock-type Pokémon that can create earthquakes by stomping on the ground. |
| Crabominable | Water | 70 | 100 | 80 | 60 | 45 | 55 | - | A giant crab-like Pokémon that can generate intense waves to wash away its foes. |",0.7294912934303284,0.2338246256113052
"Happiny, Oranguru, Chimchar","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Happiny | Normal | 60 | 120 | 85 | 95 | 70 | 40 | - | A cute and gentle Pokémon that can use its powerful legs to kick opponents. |
| Oranguru | Grass | 60 | 130 | 90 | 100 | 70 | 40 | - | A large and majestic Pokémon that uses its vines to trap opponents. |
| Chimchar | Fire | 60 | 120 | 95 | 105 | 70 | 40 | - | A small and fierce Pokémon that can generate intense heat from its body. |",0.5963972806930542,0.1407306045293808
Loudred,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Loudred | Water | 60 | 120 | 90 | 85 | 70 | 40 | Slaking | A large and powerful Pokémon that can create massive waves. Its roar can also cause earthquakes. |",0.5830665826797485,0.152066558599472
"Tinkatuff, Nosepass, Dugtrio","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Tinkatuff | Normal | 60 | 120 | 90 | 75 | 45 | 85 | - | A brown and white rodent-like Pokémon with large ears. It can dig tunnels quickly by moving its arms and legs in unison. |
| Nosepass | Ground | 50 | 90 | 70 | 60 | 35 | 65 | - | A small, mouse-like Pokémon that burrows underground to escape danger. Its nose is very sensitive and can detect even slight changes in the air. |
| Dugtrio | Earth | 70 | 100 | 80 | 60 | 45 | 75 | - | Three identical Pokémon that are always found together. They have powerful claws for digging and can create massive earthworks. |",0.5996108055114746,0.1526108086109161
"Bunnelby, Grafaiai, Yamask","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Bunnelby | Grass | 60 | 120 | 95 | 70 | 45 | 85 | - | A small, rodent-like Pokémon with large ears and a fluffy tail. It can create powerful vines to bind its opponents. |
| Grafaiai | Rock | 70 | 130 | 100 | 80 | 50 | 90 | - | A rock-type Pokémon that can control the earth's power. Its attacks are very strong but it is slow. |
| Yamask | Dark | 65 | 110 | 90 | 75 | 45 | 85 | - | A dark-type Pokémon with a skull on its forehead. It has high attack power and can use psychic powers. |",0.5848936438560486,0.1395603120326995
"Bibarel, Ursaring","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Bibarel | Water | 60 | 120 | 90 | 85 | 70 | 40 | - | A water-type Pokémon that can create massive waves and whirlpools. Its evolved form is Blastoise. |
| Ursaring | Ground | 60 | 130 | 100 | 90 | 80 | 50 | - | An earthquake-type Pokémon that can cause massive destruction with its powerful punches. Its evolved form is Donphan. |",0.6939955949783325,0.1364955902099609
"Girafarig, Beedrill, Regice, Porygon","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Girafarig | Normal | 60 | 120 | 90 | 75 | 100 | 85 | - | A large, powerful Pokémon with the ability to shoot energy beams from its horn. |
| Beedrill | Bug | 45 | 90 | 130 | 85 | 110 | 90 | - | An insect-like Pokémon known for its quick movements and high attack power. |
| Regice | Ice | 70 | 100 | 80 | 60 | 90 | 70 | - | A majestic ice-type Pokémon with incredible strength and endurance. |
| Porygon | Electric | 60 | 90 | 120 | 80 | 100 | 90 | - | A unique Pokémon that can transform into different forms based on its level of evolution. |",0.6617786884307861,0.1455286890268325
Dragalge,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Dragalge | Water | 65 | 120 | 90 | 80 | 70 | 40 | Aquatic | A dragon-like Pokémon that can breathe underwater. It has the ability to create massive waves and can swim at high speeds. |",0.6279159188270569,0.3469159305095672
"Ambipom, Octillery","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Ambipom | Grass / Water | 60 | 120 | 95 | 70 | 85 | 45 | - | A quadrupedal Pokémon with the ability to change its body into water. It can also create powerful waves by flapping its ears. |
| Octillery | Water | 70 | 130 | 100 | 80 | 90 | 50 | - | An amorphous Pokémon that can change its shape at will. Its tentacles are highly sensitive and can detect even slight changes in its surroundings. |",0.7554947137832642,0.2369946837425232
Tinkaton,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Tinkaton | Normal | 60 | 120 | 90 | 75 | 100 | 40 | - | A small, rodent-like Pokémon with large ears and sharp claws. It can use its powerful jaws to bite through almost anything. |",0.6959970593452454,0.2429970651865005
"Rillaboom, Amoonguss, Sinistea, Sobble","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Rillaboom | Grass | 60 | 120 | 90 | 85 | 70 | 40 | - | A large, green plant that can grow up to 30 feet tall. It has two small arms and legs, but it is mostly just a rooted in one place. |
| Amoonguss | Water | 50 | 90 | 70 | 60 | 50 | 40 | - | A strange, amorphous creature that can change its shape at will. Its body is covered in slimy mucus, which helps it move through the water with ease. |
| Sinistea | Ice | 40 | 60 | 50 | 40 | 30 | 20 | - | A slow-moving, ice-type Pokémon with a long, serpentine body. Its eyes are always frozen solid, giving it a perpetual glazed look. |
| Sobble | Water | 40 | 60 | 50 | 40 | 30 | 20 | - | A small, squid-like Pokémon with six tentacles and a beady eye. It moves quickly and nimbly through the water, using its tentacles to grab prey. |",0.7167225480079651,0.1384725570678711
"Heliolisk, Rattata","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Heliolisk | Bug | 60 | 120 | 95 | 70 | 85 | 45 | - | A small, insect-like Pokémon with a tough exoskeleton. It can roll into a ball and attack its opponents with its sharp claws. |
| Rattata | Normal | 60 | 130 | 90 | 70 | 80 | 40 | Pikachu | A rodent-like Pokémon that is known for its speed and agility. It can run at incredible speeds and jump long distances. |",0.584090530872345,0.1355905085802078
"Scraggy, Whimsicott, Klang, Surskit","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Scraggy | Ground | 60 | 120 | 85 | 90 | 70 | 40 | - | A quadrupedal Pokémon with powerful jaws and sharp claws. It can crush rocks and boulders with ease. |
| Whimsicott | Grass | 70 | 130 | 90 | 80 | 60 | 40 | - | A tall, slender Pokémon with long, thin arms and legs. Its vines are incredibly strong and can bind its opponents. |
| Klang | Metal | 80 | 140 | 100 | 90 | 70 | 50 | - | A large, robot-like Pokémon with a powerful hammer on each arm. It is known for its strength and endurance. |
| Surskit | Bug | 90 | 150 | 110 | 90 | 80 | 60 | - | A small, insectoid Pokémon with a hard exoskeleton. It can release sticky threads to trap its opponents. |",0.601387083530426,0.1378870904445648
"Rockruff, Golduck, Cloyster","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Rockruff | Grass | 60 | 120 | 90 | 85 | 70 | 40 | - | A quadrupedal Pokémon with two large ears and a long tail. It has the ability to sense its surroundings using its keen senses. |
| Golduck | Water | 70 | 130 | 100 | 90 | 80 | 60 | - | A large bird-like Pokémon that can fly at high speeds. Its wings are very strong and allow it to carry heavy loads. |
| Cloyster | Water | 80 | 140 | 110 | 90 | 80 | 70 | - | A sea creature with a hard shell that protects itself from attacks. It can also shoot powerful water jets from its mouth. |",0.6858472228050232,0.1425139009952545
Simipour,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Simipour | Water | 60 | 120 | 90 | 85 | 70 | 100 | - | A water-type Pokémon that can create massive waves and whirlpools. Its body is covered in barnacles, which help it to move more smoothly through the water. |",0.8421836495399475,0.3271836936473846
"Meditite, Tyrogue, Glaceon, Regirock","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Meditite | Normal | 60 | 120 | 90 | 75 | 45 | 80 | - | A small, rodent-like Pokémon with a large appetite. It can eat through solid objects and is known for its ability to heal itself by eating. |
| Tyrogue | Fire | 70 | 130 | 100 | 80 | 50 | 90 | - | A bipedal Pokémon with a fierce temperament. Its body is covered in thick fur, which protects it from attacks. |
| Glaceon | Ice | 80 | 140 | 110 | 90 | 60 | 100 | - | An ice-type Pokémon that can create powerful blizzards. It has the ability to control the temperature of its surroundings, making it a formidable opponent in battle. |
| Regirock | Rock | 90 | 150 | 120 | 100 | 70 | 130 | - | A massive rock-type Pokémon with incredible strength. It can crush rocks with ease and is nearly indestructible. |",0.5883099436759949,0.1445599347352981
"Yungoos, Machoke, Elekid","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Yungoos | Grass | 60 | 120 | 85 | 95 | 70 | 40 | - | A small, rodent-like Pokémon with large ears and sharp claws. It can use its powerful sense of smell to track down its prey. |
| Machoke | Rock | 70 | 130 | 90 | 100 | 75 | 45 | - | An armored Pokémon that is known for its incredible strength. Its body is covered in hard scales that protect it from attacks. |
| Elekid | Electric | 65 | 110 | 85 | 95 | 70 | 40 | - | A young Pokémon that has the ability to generate electricity within its body. It uses this energy to attack its opponents. |",0.5979152321815491,0.153581902384758
"Dewott, Meganium","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
